"","ano_trimestre","trimestre","oni_media","enso_class","bar_color","data_inicio","enso_fase"
"338",1983,"MAM",1.18,"El_Nino","firebrick",1983-04-01,"El_Nino"
"339",1983,"MJJ",0.17,"Neutral","gray80",1983-06-01,"Neutral"
"340",1983,"SON",-1.1,"La_Nina","steelblue",1983-10-01,"La_Nina"
"341",1984,"AMJ",-0.63,"La_Nina","steelblue",1984-05-01,"La_Nina"
"342",1984,"ASO",-0.49,"Neutral","gray80",1984-09-01,"Neutral"
"343",1984,"DJF",-0.603333333333333,"La_Nina","steelblue",1984-01-01,"La_Nina"
"344",1984,"FMA",-0.44,"Neutral","gray80",1984-03-01,"Neutral"
"345",1984,"JAS",-0.19,"Neutral","gray80",1984-08-01,"Neutral"
"346",1984,"JFM",-0.39,"Neutral","gray80",1984-02-01,"Neutral"
"347",1984,"JJA",-0.04,"Neutral","gray80",1984-07-01,"Neutral"
"348",1984,"MAM",-0.46,"Neutral","gray80",1984-04-01,"Neutral"
"349",1984,"MJJ",-0.24,"Neutral","gray80",1984-06-01,"Neutral"
"350",1984,"SON",-1,"La_Nina","steelblue",1984-10-01,"La_Nina"
"351",1985,"AMJ",-0.65,"La_Nina","steelblue",1985-05-01,"La_Nina"
"352",1985,"ASO",-0.3,"Neutral","gray80",1985-09-01,"Neutral"
"353",1985,"DJF",-1.04333333333333,"La_Nina","steelblue",1985-01-01,"La_Nina"
"354",1985,"FMA",-0.93,"La_Nina","steelblue",1985-03-01,"La_Nina"
"355",1985,"JAS",-0.55,"La_Nina","steelblue",1985-08-01,"La_Nina"
"356",1985,"JFM",-0.67,"La_Nina","steelblue",1985-02-01,"La_Nina"
"357",1985,"JJA",-0.35,"Neutral","gray80",1985-07-01,"Neutral"
"358",1985,"MAM",-0.75,"La_Nina","steelblue",1985-04-01,"La_Nina"
"359",1985,"MJJ",-0.47,"Neutral","gray80",1985-06-01,"Neutral"
"360",1985,"SON",-0.2,"Neutral","gray80",1985-10-01,"Neutral"
